经验,包裹负重,装备负重,腕力,HP,MP,攻击下限,攻击上限,魔法下限,魔法上限,道术下限,道术上限,防御下限,防御上限,魔防下限,魔防上限,命中,躲避,魔法命中,魔法躲避,暴击,活力,速度？查,hp恢复,mp恢复,打坐经验
100,50,15,12,16,18,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,2,3000
200,51,15,12,18,24,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,2,3000
300,52,15,12,20,30,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,2,3000
400,53,15,12,22,38,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,3,3000
600,55,15,12,25,46,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,3,3000
900,57,15,12,27,55,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,4,3000
1200,60,15,12,30,65,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,4,3000
1700,63,16,13,33,76,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,5,3000
2500,66,16,13,36,88,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,5,3000
6000,70,16,13,39,101,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,6,3000
8000,74,16,13,42,115,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,1,15,1,7,3000
10000,79,16,14,45,129,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,2,15,1,8,3000
15000,84,17,14,49,145,0,1,0,1,0,0,0,0,0,0,5,7,10,1,0,3,15,1,9,3000
30000,89,17,14,52,161,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,4,15,1,9,3000
40000,95,17,14,56,178,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,5,15,1,10,10000
50000,101,18,15,60,196,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,6,15,1,11,10000
70000,108,18,15,64,215,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,7,15,1,12,10000
100000,115,18,16,68,235,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,8,15,1,14,10000
120000,122,19,16,72,255,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,9,15,1,15,10000
140000,130,19,16,77,277,1,2,1,2,0,0,0,0,0,0,5,7,10,1,0,10,15,2,16,10000
250000,138,19,17,81,299,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,11,15,2,17,10000
300000,147,20,17,86,323,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,12,15,2,18,25000
350000,156,20,18,91,347,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,13,15,2,20,25000
400000,165,21,18,96,372,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,14,15,2,21,25000
500000,175,21,19,101,398,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,15,15,2,23,25000
700000,185,22,20,106,425,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,16,15,2,24,25000
1000000,196,22,20,111,453,2,3,2,3,0,0,0,0,0,0,5,7,10,1,0,17,15,2,26,25000
1400000,207,23,21,117,481,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,18,15,2,27,25000
1800000,218,23,21,122,511,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,19,15,2,29,30000
2000000,230,24,22,128,541,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,20,15,2,31,30000
2400000,242,25,23,134,572,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,21,15,2,32,30000
2800000,255,25,23,140,604,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,22,15,2,34,30000
3200000,268,26,24,146,637,3,4,3,4,0,0,0,0,0,0,5,7,10,1,0,23,15,2,36,30000
