经验,包裹负重,装备负重,腕力,HP,MP,攻击下限,攻击上限,魔法下限,魔法上限,道术下限,道术上限,防御下限,防御上限,魔防下限,魔防上限,命中,躲避,魔法命中,魔法躲避,暴击,活力,速度？查,hp恢复,mp恢复,打坐经验
100,50,15,12,17,13,0,1,0,0,0,1,0,0,0,1,6,8,10,1,0,1,18,1,1,3000
200,51,15,12,20,14,0,1,0,0,0,1,0,0,0,1,6,8,10,1,0,1,18,1,1,3000
300,52,15,12,23,15,0,1,0,0,0,1,0,0,0,1,6,8,10,1,0,1,18,1,1,3000
400,54,15,12,27,17,0,1,0,0,0,1,0,0,0,2,6,8,10,1,0,1,18,1,1,3000
600,56,15,13,31,20,0,1,0,0,0,1,0,0,0,2,6,8,10,1,0,1,18,1,2,3000
900,59,16,13,35,23,0,1,0,0,0,1,0,0,0,2,6,8,10,1,0,1,18,1,2,3000
1200,62,16,13,40,26,0,1,0,0,0,1,0,0,0,2,6,8,10,1,0,1,18,1,2,3000
1700,66,16,14,45,31,0,1,0,0,0,1,0,0,0,2,6,8,10,1,0,1,18,1,2,3000
2500,70,17,14,50,35,0,1,0,0,0,1,0,0,1,3,6,8,10,1,0,1,18,1,2,3000
6000,75,17,14,56,41,0,1,0,0,0,1,0,0,1,3,6,8,10,1,0,1,18,1,3,3000
8000,80,17,15,62,46,0,1,0,0,0,1,0,0,1,3,6,8,10,1,0,1,18,1,3,3000
10000,86,18,15,68,53,0,1,0,0,0,1,0,0,1,3,6,8,10,1,0,2,18,1,3,3000
15000,92,18,16,75,59,0,1,0,0,0,1,0,0,1,3,6,8,10,1,0,3,18,2,4,3000
30000,99,19,17,82,67,1,2,0,0,1,2,0,0,1,3,6,8,10,1,0,4,18,2,4,3000
40000,106,19,17,89,75,1,2,0,0,1,2,0,0,1,3,6,8,10,1,0,5,18,2,5,10000
50000,114,20,18,97,83,1,2,0,0,1,2,0,0,1,4,6,8,10,1,0,6,18,2,5,10000
70000,122,21,19,105,92,1,2,0,0,1,2,0,0,1,4,6,8,10,1,0,7,18,2,6,10000
100000,131,21,20,113,102,1,2,0,0,1,2,0,0,1,4,6,8,10,1,0,8,18,2,6,10000
120000,140,22,21,122,112,1,2,0,0,1,2,0,0,1,4,6,8,10,1,0,9,18,2,7,10000
140000,150,23,22,131,123,1,2,0,0,1,2,0,0,1,4,6,8,10,1,0,10,18,2,7,10000
250000,160,24,22,140,134,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,11,18,2,8,10000
300000,171,25,24,150,146,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,12,18,3,9,25000
350000,182,26,25,160,158,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,13,18,3,9,25000
400000,194,27,26,170,171,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,14,18,3,10,25000
500000,206,27,27,181,185,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,15,18,3,11,25000
700000,219,29,28,192,199,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,16,18,3,12,25000
1000000,232,30,29,203,213,2,3,0,0,2,3,0,0,2,5,6,8,10,1,0,17,18,3,12,25000
1400000,246,31,31,215,229,3,4,0,0,3,4,0,0,2,6,6,8,10,1,0,18,18,3,13,25000
1800000,260,32,32,227,244,3,4,0,0,3,4,0,0,2,6,6,8,10,1,0,19,18,4,14,30000
2000000,275,33,33,239,261,3,4,0,0,3,4,0,0,2,6,6,8,10,1,0,20,18,4,15,30000
2400000,290,34,35,252,277,3,4,0,0,3,4,0,0,2,6,6,8,10,1,0,21,18,4,16,30000
2800000,306,35,36,265,295,3,4,0,0,3,4,0,0,2,6,6,8,10,1,0,22,18,4,17,30000
3200000,322,37,38,278,312,3,4,0,0,3,4,0,0,3,7,6,8,10,1,0,23,18,4,18,30000
3600000,339,38,40,292,331,3,4,0,0,3,4,0,0,3,7,6,8,10,1,0,24,18,4,19,30000
4000000,356,39,41,306,350,4,5,0,0,9,10,0,0,3,7,6,8,10,1,0,25,18,5,20,30000
4800000,374,41,43,320,368,4,5,0,0,9,10,0,0,3,7,6,8,10,1,0,26,18,5,21,35000
5600000,392,42,45,335,389,4,5,0,0,10,11,0,0,3,7,6,8,10,1,0,27,18,5,22,35000
8200000,411,44,46,350,410,4,5,0,0,10,11,0,0,3,7,6,8,10,1,0,28,18,5,23,35000
9000000,430,45,48,365,431,4,5,0,0,11,12,0,0,3,7,6,8,10,1,0,29,18,5,24,35000
12000000,450,47,50,381,453,4,5,0,0,11,12,0,0,3,8,6,8,10,1,0,30,18,6,26,35000
16000000,470,49,52,397,475,4,5,0,0,12,13,0,0,3,8,6,8,10,1,0,30,18,6,27,35000
30000000,491,50,54,413,498,5,6,0,0,12,13,0,0,3,8,6,8,10,1,0,30,18,6,28,35000
50000000,512,52,56,430,521,5,6,0,0,13,14,0,0,3,8,6,8,10,1,0,30,18,6,30,40000
80000000,534,54,58,447,545,5,6,0,0,13,14,0,0,3,8,6,8,10,1,0,30,18,6,31,40000
120000000,556,55,60,464,570,5,6,0,0,14,15,0,0,4,9,6,8,10,1,0,30,18,7,32,40000
480000000,579,57,62,482,595,5,6,0,0,14,15,0,0,4,9,6,8,10,1,0,30,18,7,34,40000
520000000,602,59,65,500,620,5,6,0,0,15,16,0,0,4,9,6,8,10,1,0,30,18,7,35,40000
560000000,626,61,67,518,647,5,6,0,0,15,16,0,0,4,9,6,8,10,1,0,30,18,7,36,40000
580000000,650,63,69,537,673,6,7,0,0,16,17,0,0,4,9,6,8,10,1,0,30,18,8,38,40000
580000000,675,65,72,556,701,6,7,0,0,16,17,0,0,4,9,6,8,10,1,0,30,18,8,39,40000
580000000,700,67,75,575,729,6,7,0,0,17,18,0,0,4,9,6,8,10,1,0,30,18,8,40,45000
580000000,726,69,77,594,758,6,7,0,0,17,18,0,0,4,10,6,8,10,1,0,30,18,8,41,45000
580000000,752,70,80,614,787,6,7,0,0,18,19,0,0,4,10,6,8,10,1,0,30,18,8,43,45000
580000000,779,73,82,634,815,6,7,0,0,18,19,0,0,4,10,6,8,10,1,0,30,18,9,44,45000
580000000,806,75,84,654,845,6,8,0,0,19,20,0,0,4,10,6,8,10,1,0,30,18,9,46,45000
580000000,834,77,86,675,875,7,8,0,0,19,20,0,0,4,10,6,8,10,1,0,30,18,9,48,45000
580000000,862,79,89,696,904,7,8,0,0,20,21,0,0,5,11,6,8,10,1,0,30,18,10,50,45000
580000000,891,81,92,717,935,7,8,0,0,20,21,0,0,5,11,6,8,10,1,0,30,18,10,52,45000
580000000,920,83,94,739,966,7,8,0,0,21,22,0,0,5,11,6,8,10,1,0,30,18,10,54,50000
2000000000,950,86,97,761,997,7,8,0,0,21,22,0,0,5,11,6,8,10,1,0,30,18,10,56,50000
